"filename", "language", "JavaScript", "YAML", "Ignore", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "Vue", "SVG", "CSS", "SCSS", "comment", "blank", "total"
"e:\MyDrive\my-drive\src\main\ipc\index.ts", "TypeScript", 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -3
"e:\MyDrive\my-drive\src\main\ipc\on.ts", "TypeScript", 0, 0, 0, 0, 0, -82, 0, 0, 0, 0, 0, 0, -11, -10, -103
"e:\MyDrive\my-drive\src\main\model\menu\index.ts", "TypeScript", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -5, -14
"e:\MyDrive\my-drive\src\main\plugins\auto-import.ts", "TypeScript", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -3, -11
"e:\MyDrive\my-drive\src\main\plugins\componets.ts", "TypeScript", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -3, -11
"e:\MyDrive\my-drive\src\main\plugins\index.ts", "TypeScript", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -3, -9
"e:\MyDrive\my-drive\src\main\store\index.ts", "TypeScript", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -3, -6
"e:\MyDrive\my-drive\src\main\typings\ipc.d.ts", "TypeScript", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -1, -4, -15
"e:\MyDrive\my-drive\src\main\typings\menu.d.ts", "TypeScript", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"e:\MyDrive\my-drive\src\main\utils\api\common\index.ts", "TypeScript", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -3, -9
"e:\MyDrive\my-drive\src\main\utils\api\index.ts", "TypeScript", 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, -1, -5
"e:\MyDrive\my-drive\src\main\utils\api\log\index.ts", "TypeScript", 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, -4, -3, -18
"e:\MyDrive\my-drive\src\main\utils\api\os\index.ts", "TypeScript", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -4, -3, -17
