"filename", "language", "JavaScript", "YAML", "TypeScript", "Ignore", "JSON", "JSON with Comments", "Markdown", "Vue", "CSS", "comment", "blank", "total"
"e:\MyDrive\server-monitor\src\renderer\src\components\menu\left-menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 0, 8
"e:\MyDrive\server-monitor\src\renderer\src\components\pagination\pagination-1.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"e:\MyDrive\server-monitor\src\renderer\src\components\resize\resize-layout.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\MyDrive\server-monitor\src\renderer\src\composables\common\drag.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 2, 19
"e:\MyDrive\server-monitor\src\renderer\src\composables\common\header.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 9, 11, 64
"e:\MyDrive\server-monitor\src\renderer\src\composables\editor\editor.ts", "TypeScript", 0, 0, 114, 0, 0, 0, 0, 0, 0, 49, 26, 189
"e:\MyDrive\server-monitor\src\renderer\src\composables\event-listener.ts", "TypeScript", 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, -3, -13
"e:\MyDrive\server-monitor\src\renderer\src\composables\file\index.ts", "TypeScript", 0, 0, 111, 0, 0, 0, 0, 0, 0, 30, 28, 169
"e:\MyDrive\server-monitor\src\renderer\src\composables\mouse.ts", "TypeScript", 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, -3, -16
"e:\MyDrive\server-monitor\src\renderer\src\composables\server\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -49, -10, -59
"e:\MyDrive\server-monitor\src\renderer\src\directive\code-line.ts", "TypeScript", 0, 0, -39, 0, 0, 0, 0, 0, 0, -12, -10, -61
"e:\MyDrive\server-monitor\src\renderer\src\directive\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\MyDrive\server-monitor\src\renderer\src\directive\loading.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 6, 44
"e:\MyDrive\server-monitor\src\renderer\src\main.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 7, 0, 9
"e:\MyDrive\server-monitor\src\renderer\src\plugins\i18n\index.json", "JSON", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 28
"e:\MyDrive\server-monitor\src\renderer\src\store\config\index.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\MyDrive\server-monitor\src\renderer\src\store\firewall\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -4
"e:\MyDrive\server-monitor\src\renderer\src\store\server\server-info.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\MyDrive\server-monitor\src\renderer\src\utils\common\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\MyDrive\server-monitor\src\renderer\src\utils\file\index.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 15, 8, 82
"e:\MyDrive\server-monitor\src\renderer\src\utils\windows\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 8
"e:\MyDrive\server-monitor\src\renderer\src\views\editor\editor.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 46, 0, -11, 5, 40
"e:\MyDrive\server-monitor\src\renderer\src\views\file\components\file-list.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 12, 82
"e:\MyDrive\server-monitor\src\renderer\src\views\file\file.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -23, 0, 7, -8, -24
"e:\MyDrive\server-monitor\src\renderer\src\views\firewall\components\add-rules.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -12, 0, 7, 0, -5
"e:\MyDrive\server-monitor\src\renderer\src\views\firewall\components\edit-rules.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, -5, -23
"e:\MyDrive\server-monitor\src\renderer\src\views\home\components\header.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 0, 147, 1, 149
"e:\MyDrive\server-monitor\src\renderer\src\views\home\home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 7, 1, 17
"e:\MyDrive\server-monitor\src\renderer\src\views\index\components\network-chart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, -1, 7
"e:\MyDrive\server-monitor\src\renderer\src\views\index\dashbard.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"e:\MyDrive\server-monitor\src\renderer\src\views\index\processor.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"e:\MyDrive\server-monitor\src\renderer\src\views\setting\components\personal-setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"e:\MyDrive\server-monitor\src\renderer\src\views\test\kid.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -5, -18
"e:\MyDrive\server-monitor\src\renderer\src\views\test\test.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -75, 0, -11, -5, -91
"e:\MyDrive\server-monitor\src\renderer\src\views\test\test2.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -82, 0, 0, -11, -93
"e:\MyDrive\server-monitor\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"e:\MyDrive\server-monitor\tsconfig.node.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 40, 1, 49
"e:\MyDrive\server-monitor\tsconfig.web.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 41, 1, 50
"Total", "-", 18, 4197, 474, 6, 121, 11, 22, 339, 12, 484, 753, 6437
