Date : 2024-03-25 20:54:35
Directory : e:\MyDrive\server-monitor
Total : 153 files,  13100 codes, 984 comments, 1780 blanks, all 15864 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\MyDrive\server-monitor\src\renderer\src\App.vue                                           | Vue                |          7 |          0 |          3 |         10 |
| e:\MyDrive\server-monitor\src\renderer\src\assets\css\element-plus.scss                      | SCSS               |        100 |          8 |         15 |        123 |
| e:\MyDrive\server-monitor\src\renderer\src\assets\css\font.css                               | CSS                |         22 |          1 |          6 |         29 |
| e:\MyDrive\server-monitor\src\renderer\src\assets\css\scrollbar.scss                         | SCSS               |         21 |          0 |          4 |         25 |
| e:\MyDrive\server-monitor\src\renderer\src\assets\css\styles.css                             | CSS                |          9 |          3 |          8 |         20 |
| e:\MyDrive\server-monitor\src\renderer\src\assets\css\theme.css                              | CSS                |         95 |         26 |          5 |        126 |
| e:\MyDrive\server-monitor\src\renderer\src\assets\css\transition.css                         | CSS                |          8 |          0 |          2 |         10 |
| e:\MyDrive\server-monitor\src\renderer\src\assets\icons.svg                                  | SVG                |         34 |          0 |          1 |         35 |
| e:\MyDrive\server-monitor\src\renderer\src\components\Versions.vue                           | Vue                |         12 |          0 |          3 |         15 |
| e:\MyDrive\server-monitor\src\renderer\src\components\card\card-2.vue                        | Vue                |        250 |          0 |         10 |        260 |
| e:\MyDrive\server-monitor\src\renderer\src\components\card\card.vue                          | Vue                |         43 |          0 |          3 |         46 |
| e:\MyDrive\server-monitor\src\renderer\src\components\card\social-card.vue                   | Vue                |         79 |          7 |         10 |         96 |
| e:\MyDrive\server-monitor\src\renderer\src\components\checkbox\checkbox-1.vue                | Vue                |        116 |          1 |         15 |        132 |
| e:\MyDrive\server-monitor\src\renderer\src\components\editor\custom-editor.vue               | Vue                |         89 |          7 |         22 |        118 |
| e:\MyDrive\server-monitor\src\renderer\src\components\editor\editor.vue                      | Vue                |         60 |          7 |         11 |         78 |
| e:\MyDrive\server-monitor\src\renderer\src\components\editor\index.ts                        | TypeScript         |          5 |          0 |          2 |          7 |
| e:\MyDrive\server-monitor\src\renderer\src\components\editor\init.ts                         | TypeScript         |         22 |          1 |          2 |         25 |
| e:\MyDrive\server-monitor\src\renderer\src\components\explorer\explorer-row.vue              | Vue                |        186 |          0 |         19 |        205 |
| e:\MyDrive\server-monitor\src\renderer\src\components\explorer\explorer.ts                   | TypeScript         |         11 |          0 |          5 |         16 |
| e:\MyDrive\server-monitor\src\renderer\src\components\explorer\explorer.vue                  | Vue                |        104 |          0 |         20 |        124 |
| e:\MyDrive\server-monitor\src\renderer\src\components\explorer\index.d.ts                    | TypeScript         |          9 |          0 |          2 |         11 |
| e:\MyDrive\server-monitor\src\renderer\src\components\icon\arrow-right.vue                   | Vue                |          5 |          0 |          3 |          8 |
| e:\MyDrive\server-monitor\src\renderer\src\components\icon\brand.vue                         | Vue                |         39 |         10 |          3 |         52 |
| e:\MyDrive\server-monitor\src\renderer\src\components\loading\loading-1.vue                  | Vue                |         66 |          7 |          4 |         77 |
| e:\MyDrive\server-monitor\src\renderer\src\components\loading\loading-2.vue                  | Vue                |        503 |          0 |         65 |        568 |
| e:\MyDrive\server-monitor\src\renderer\src\components\loading\loading-3.vue                  | Vue                |        114 |          7 |          6 |        127 |
| e:\MyDrive\server-monitor\src\renderer\src\components\menu\left-menu.vue                     | Vue                |         64 |          7 |          7 |         78 |
| e:\MyDrive\server-monitor\src\renderer\src\components\menu\menu-item.vue                     | Vue                |         69 |          0 |          6 |         75 |
| e:\MyDrive\server-monitor\src\renderer\src\components\menu\menu.vue                          | Vue                |         14 |          0 |          3 |         17 |
| e:\MyDrive\server-monitor\src\renderer\src\components\pagination\pagination-1.vue            | Vue                |        157 |          0 |         18 |        175 |
| e:\MyDrive\server-monitor\src\renderer\src\components\progress\circle-progress.vue           | Vue                |         28 |          0 |          3 |         31 |
| e:\MyDrive\server-monitor\src\renderer\src\components\resize\resize-layout.vue               | Vue                |        117 |          0 |         18 |        135 |
| e:\MyDrive\server-monitor\src\renderer\src\components\tabbed\tabbed.vue                      | Vue                |        222 |          0 |         20 |        242 |
| e:\MyDrive\server-monitor\src\renderer\src\composables\common\drag.ts                        | TypeScript         |         52 |          7 |          8 |         67 |
| e:\MyDrive\server-monitor\src\renderer\src\composables\common\header.ts                      | TypeScript         |         44 |          9 |         11 |         64 |
| e:\MyDrive\server-monitor\src\renderer\src\composables\editor\editor.ts                      | TypeScript         |        114 |         49 |         26 |        189 |
| e:\MyDrive\server-monitor\src\renderer\src\composables\file\index.ts                         | TypeScript         |        111 |         30 |         28 |        169 |
| e:\MyDrive\server-monitor\src\renderer\src\composables\menu\index.ts                         | TypeScript         |         23 |          0 |          5 |         28 |
| e:\MyDrive\server-monitor\src\renderer\src\directive\index.ts                                | TypeScript         |          6 |          0 |          3 |          9 |
| e:\MyDrive\server-monitor\src\renderer\src\directive\loading.ts                              | TypeScript         |         37 |          1 |          6 |         44 |
| e:\MyDrive\server-monitor\src\renderer\src\layouts\common\common-layouts.vue                 | Vue                |          5 |          0 |          3 |          8 |
| e:\MyDrive\server-monitor\src\renderer\src\main.ts                                           | TypeScript         |         15 |          7 |          3 |         25 |
| e:\MyDrive\server-monitor\src\renderer\src\plugins\i18n\index.json                           | JSON               |        318 |          0 |          1 |        319 |
| e:\MyDrive\server-monitor\src\renderer\src\plugins\i18n\index.ts                             | TypeScript         |         12 |          0 |          4 |         16 |
| e:\MyDrive\server-monitor\src\renderer\src\plugins\index.ts                                  | TypeScript         |         10 |          0 |          3 |         13 |
| e:\MyDrive\server-monitor\src\renderer\src\plugins\pinia\index.ts                            | TypeScript         |          7 |          0 |          3 |         10 |
| e:\MyDrive\server-monitor\src\renderer\src\plugins\style\index.ts                            | TypeScript         |          5 |          0 |          2 |          7 |
| e:\MyDrive\server-monitor\src\renderer\src\router\index.ts                                   | TypeScript         |        102 |          1 |          4 |        107 |
| e:\MyDrive\server-monitor\src\renderer\src\store\config\index.ts                             | TypeScript         |        105 |         51 |         24 |        180 |
| e:\MyDrive\server-monitor\src\renderer\src\store\config\tencent.ts                           | TypeScript         |         48 |         24 |         11 |         83 |
| e:\MyDrive\server-monitor\src\renderer\src\store\firewall\index.ts                           | TypeScript         |        120 |         31 |         13 |        164 |
| e:\MyDrive\server-monitor\src\renderer\src\store\index.ts                                    | TypeScript         |          4 |          0 |          1 |          5 |
| e:\MyDrive\server-monitor\src\renderer\src\store\server\server-info.ts                       | TypeScript         |         86 |         21 |         22 |        129 |
| e:\MyDrive\server-monitor\src\renderer\src\typings\electron.d.ts                             | TypeScript         |          5 |          0 |          1 |          6 |
| e:\MyDrive\server-monitor\src\renderer\src\typings\env.d.ts                                  | TypeScript         |         14 |          2 |          4 |         20 |
| e:\MyDrive\server-monitor\src\renderer\src\typings\file.d.ts                                 | TypeScript         |          8 |          0 |          1 |          9 |
| e:\MyDrive\server-monitor\src\renderer\src\typings\menu.d.ts                                 | TypeScript         |          3 |          0 |          1 |          4 |
| e:\MyDrive\server-monitor\src\renderer\src\typings\os.d.ts                                   | TypeScript         |         55 |          4 |          6 |         65 |
| e:\MyDrive\server-monitor\src\renderer\src\typings\setting.d.ts                              | TypeScript         |          3 |          0 |          3 |          6 |
| e:\MyDrive\server-monitor\src\renderer\src\typings\tencent.d.ts                              | TypeScript         |         47 |          1 |          7 |         55 |
| e:\MyDrive\server-monitor\src\renderer\src\typings\vue-router.d.ts                           | TypeScript         |         10 |          0 |          2 |         12 |
| e:\MyDrive\server-monitor\src\renderer\src\utils\common\color.ts                             | TypeScript         |         31 |          0 |          2 |         33 |
| e:\MyDrive\server-monitor\src\renderer\src\utils\common\index.ts                             | TypeScript         |          5 |          0 |          3 |          8 |
| e:\MyDrive\server-monitor\src\renderer\src\utils\file\index.ts                               | TypeScript         |         59 |         15 |          8 |         82 |
| e:\MyDrive\server-monitor\src\renderer\src\utils\img\img.ts                                  | TypeScript         |          9 |          0 |          2 |         11 |
| e:\MyDrive\server-monitor\src\renderer\src\utils\img\index.ts                                | TypeScript         |         16 |          1 |          6 |         23 |
| e:\MyDrive\server-monitor\src\renderer\src\utils\os\index.ts                                 | TypeScript         |         37 |          1 |          7 |         45 |
| e:\MyDrive\server-monitor\src\renderer\src\utils\store\index.ts                              | TypeScript         |         10 |          1 |          3 |         14 |
| e:\MyDrive\server-monitor\src\renderer\src\utils\time\index.ts                               | TypeScript         |         29 |          5 |          5 |         39 |
| e:\MyDrive\server-monitor\src\renderer\src\utils\windows\index.ts                            | TypeScript         |          9 |          7 |          2 |         18 |
| e:\MyDrive\server-monitor\src\renderer\src\views\editor\editor.vue                           | Vue                |        140 |          7 |         15 |        162 |
| e:\MyDrive\server-monitor\src\renderer\src\views\file\components\file-list.vue               | Vue                |        222 |          0 |         25 |        247 |
| e:\MyDrive\server-monitor\src\renderer\src\views\file\file.vue                               | Vue                |         68 |          7 |          7 |         82 |
| e:\MyDrive\server-monitor\src\renderer\src\views\firewall\components\add-rules.vue           | Vue                |        177 |          7 |         21 |        205 |
| e:\MyDrive\server-monitor\src\renderer\src\views\firewall\components\edit-rules.vue          | Vue                |        184 |          0 |         19 |        203 |
| e:\MyDrive\server-monitor\src\renderer\src\views\firewall\components\firewall-table.vue      | Vue                |        187 |          0 |         26 |        213 |
| e:\MyDrive\server-monitor\src\renderer\src\views\firewall\firewall-item.vue                  | Vue                |        329 |          0 |         36 |        365 |
| e:\MyDrive\server-monitor\src\renderer\src\views\firewall\firewall.vue                       | Vue                |         76 |          0 |         12 |         88 |
| e:\MyDrive\server-monitor\src\renderer\src\views\home\components\header.vue                  | Vue                |        117 |        147 |         15 |        279 |
| e:\MyDrive\server-monitor\src\renderer\src\views\home\home.vue                               | Vue                |         87 |          8 |          9 |        104 |
| e:\MyDrive\server-monitor\src\renderer\src\views\index\components\network-chart.vue          | Vue                |        218 |          0 |         17 |        235 |
| e:\MyDrive\server-monitor\src\renderer\src\views\index\dashbard.vue                          | Vue                |        149 |          0 |         13 |        162 |
| e:\MyDrive\server-monitor\src\renderer\src\views\index\index.vue                             | Vue                |        193 |          0 |         13 |        206 |
| e:\MyDrive\server-monitor\src\renderer\src\views\index\processor.vue                         | Vue                |        185 |          0 |         13 |        198 |
| e:\MyDrive\server-monitor\src\renderer\src\views\log\components\mysql-log.vue                | Vue                |        108 |          0 |         12 |        120 |
| e:\MyDrive\server-monitor\src\renderer\src\views\log\components\nginx-log.vue                | Vue                |        169 |          0 |         14 |        183 |
| e:\MyDrive\server-monitor\src\renderer\src\views\log\components\redis-log.vue                | Vue                |          5 |          0 |          3 |          8 |
| e:\MyDrive\server-monitor\src\renderer\src\views\log\log.vue                                 | Vue                |         61 |          1 |          6 |         68 |
| e:\MyDrive\server-monitor\src\renderer\src\views\setting\components\common-setting.vue       | Vue                |         66 |          0 |          6 |         72 |
| e:\MyDrive\server-monitor\src\renderer\src\views\setting\components\firewall-config-item.vue | Vue                |        113 |          0 |         11 |        124 |
| e:\MyDrive\server-monitor\src\renderer\src\views\setting\components\firewall-setting.vue     | Vue                |        161 |          0 |         20 |        181 |
| e:\MyDrive\server-monitor\src\renderer\src\views\setting\components\personal-setting.vue     | Vue                |        153 |          0 |         12 |        165 |
| e:\MyDrive\server-monitor\src\renderer\src\views\setting\setting.vue                         | Vue                |         63 |          0 |         11 |         74 |
| e:\MyDrive\server-monitor\src\renderer\src\views\terminal\components\terminal-item.vue       | Vue                |        144 |          0 |         10 |        154 |
| e:\MyDrive\server-monitor\src\renderer\src\views\terminal\terminal.vue                       | Vue                |         61 |          0 |         11 |         72 |
| e:\MyDrive\server-monitor\src\renderer\src\views\test\test.vue                               | Vue                |         15 |          7 |          3 |         25 |
| e:\MyDrive\server-monitor\tsconfig.json                                                      | JSON with Comments |         11 |          0 |          1 |         12 |
| e:\MyDrive\server-monitor\tsconfig.node.json                                                 | JSON               |          8 |         40 |          1 |         49 |
