"filename", "language", "JavaScript", "YAML", "TypeScript", "Ignore", "JSON", "JSON with Comments", "Markdown", "SVG", "Vue", "CSS", "SCSS", "HTML", "comment", "blank", "total"
"e:\MyDrive\server-monitor\src\main\utils\tencent\client.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"e:\MyDrive\server-monitor\src\main\utils\tencent\firewall\api.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 14, 170
"e:\MyDrive\server-monitor\src\main\utils\tencent\firewall\config.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"e:\MyDrive\server-monitor\src\main\utils\tencent\firewall\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\MyDrive\server-monitor\src\main\utils\tencent\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\MyDrive\server-monitor\src\main\utils\tencent\typings.d.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\MyDrive\server-monitor\src\preload\api\handle\index.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 9, 87
"e:\MyDrive\server-monitor\src\preload\api\index.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 28
"e:\MyDrive\server-monitor\src\preload\api\on\index.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 68
"e:\MyDrive\server-monitor\src\preload\index.d.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 9, 109
"e:\MyDrive\server-monitor\src\preload\index.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 26
"e:\MyDrive\server-monitor\src\preload\typings\common.d.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\MyDrive\server-monitor\src\preload\typings\menu.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\MyDrive\server-monitor\src\renderer\auto-imports.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 10
"e:\MyDrive\server-monitor\src\renderer\components.d.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 59
"e:\MyDrive\server-monitor\src\renderer\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 2, 19
"e:\MyDrive\server-monitor\src\renderer\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\element-plus.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 8, 15, 123
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\font.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 1, 6, 29
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\scrollbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 8, 20
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\theme.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 26, 5, 126
