"filename", "language", "TypeScript", "Vue", "SVG", "CSS", "SCSS", "JSON", "HTML", "comment", "blank", "total"
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\scrollbar.scss", "SCSS", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\styles.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 3, 8, 20
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\theme.css", "CSS", 0, 0, 0, 87, 0, 0, 0, 23, 5, 115
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\transition.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\MyDrive\server-monitor\src\renderer\src\assets\icons.svg", "SVG", 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"e:\MyDrive\server-monitor\src\renderer\src\components\Versions.vue", "Vue", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"e:\MyDrive\server-monitor\src\renderer\src\components\card\card-2.vue", "Vue", 0, 249, 0, 0, 0, 0, 0, 0, 10, 259
"e:\MyDrive\server-monitor\src\renderer\src\components\card\card.vue", "Vue", 0, 43, 0, 0, 0, 0, 0, 0, 3, 46
"e:\MyDrive\server-monitor\src\renderer\src\components\card\social-card.vue", "Vue", 0, 575, 0, 0, 0, 0, 0, 0, 72, 647
"e:\MyDrive\server-monitor\src\renderer\src\components\checkbox\checkbox-1.vue", "Vue", 0, 116, 0, 0, 0, 0, 0, 1, 15, 132
"e:\MyDrive\server-monitor\src\renderer\src\components\editor\custom-editor.vue", "Vue", 0, 49, 0, 0, 0, 0, 0, 0, 12, 61
"e:\MyDrive\server-monitor\src\renderer\src\components\editor\editor.vue", "Vue", 0, 53, 0, 0, 0, 0, 0, 0, 10, 63
"e:\MyDrive\server-monitor\src\renderer\src\components\editor\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\MyDrive\server-monitor\src\renderer\src\components\editor\init.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 1, 2, 25
"e:\MyDrive\server-monitor\src\renderer\src\components\explorer\explorer-row.vue", "Vue", 0, 133, 0, 0, 0, 0, 0, 0, 12, 145
"e:\MyDrive\server-monitor\src\renderer\src\components\explorer\explorer.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"e:\MyDrive\server-monitor\src\renderer\src\components\explorer\explorer.vue", "Vue", 0, 77, 0, 0, 0, 0, 0, 0, 17, 94
"e:\MyDrive\server-monitor\src\renderer\src\components\explorer\index.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\MyDrive\server-monitor\src\renderer\src\components\menu\left-menu.vue", "Vue", 0, 63, 0, 0, 0, 0, 0, 0, 7, 70
"e:\MyDrive\server-monitor\src\renderer\src\components\menu\menu-item.vue", "Vue", 0, 69, 0, 0, 0, 0, 0, 0, 6, 75
"e:\MyDrive\server-monitor\src\renderer\src\components\menu\menu.vue", "Vue", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"e:\MyDrive\server-monitor\src\renderer\src\components\pagination\pagination-1.vue", "Vue", 0, 139, 0, 0, 0, 0, 0, 0, 16, 155
"e:\MyDrive\server-monitor\src\renderer\src\components\progress\circle-progress.vue", "Vue", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"e:\MyDrive\server-monitor\src\renderer\src\components\resize\resize-layout.vue", "Vue", 0, 112, 0, 0, 0, 0, 0, 0, 17, 129
"e:\MyDrive\server-monitor\src\renderer\src\components\tabbed\tabbed.vue", "Vue", 0, 222, 0, 0, 0, 0, 0, 0, 20, 242
"e:\MyDrive\server-monitor\src\renderer\src\composables\common\drag.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
"e:\MyDrive\server-monitor\src\renderer\src\composables\event-listener.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\MyDrive\server-monitor\src\renderer\src\composables\menu\index.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"e:\MyDrive\server-monitor\src\renderer\src\composables\mouse.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\MyDrive\server-monitor\src\renderer\src\composables\server\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 49, 10, 59
"e:\MyDrive\server-monitor\src\renderer\src\directive\code-line.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 12, 10, 61
"e:\MyDrive\server-monitor\src\renderer\src\layouts\common\common-layouts.vue", "Vue", 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"e:\MyDrive\server-monitor\src\renderer\src\main.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\MyDrive\server-monitor\src\renderer\src\plugins\i18n\index.json", "JSON", 0, 0, 0, 0, 0, 290, 0, 0, 1, 291
"e:\MyDrive\server-monitor\src\renderer\src\plugins\i18n\index.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\MyDrive\server-monitor\src\renderer\src\plugins\index.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\MyDrive\server-monitor\src\renderer\src\plugins\pinia\index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"e:\MyDrive\server-monitor\src\renderer\src\plugins\style\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\MyDrive\server-monitor\src\renderer\src\router\index.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 1, 4, 107
"e:\MyDrive\server-monitor\src\renderer\src\store\config\index.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 0, 51, 21, 160
"e:\MyDrive\server-monitor\src\renderer\src\store\config\tencent.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 24, 11, 83
"e:\MyDrive\server-monitor\src\renderer\src\store\firewall\index.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 0, 33, 15, 168
"e:\MyDrive\server-monitor\src\renderer\src\store\index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\MyDrive\server-monitor\src\renderer\src\store\server\server-info.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 21, 21, 128
"e:\MyDrive\server-monitor\src\renderer\src\typings\electron.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\MyDrive\server-monitor\src\renderer\src\typings\env.d.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 2, 4, 20
"e:\MyDrive\server-monitor\src\renderer\src\typings\file.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\MyDrive\server-monitor\src\renderer\src\typings\menu.d.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\MyDrive\server-monitor\src\renderer\src\typings\os.d.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 4, 6, 65
"e:\MyDrive\server-monitor\src\renderer\src\typings\setting.d.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"e:\MyDrive\server-monitor\src\renderer\src\typings\tencent.d.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 1, 7, 55
"e:\MyDrive\server-monitor\src\renderer\src\typings\vue-router.d.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"e:\MyDrive\server-monitor\src\renderer\src\utils\common\color.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"e:\MyDrive\server-monitor\src\renderer\src\utils\img\img.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\MyDrive\server-monitor\src\renderer\src\utils\img\index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 1, 6, 23
"e:\MyDrive\server-monitor\src\renderer\src\utils\os\index.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 1, 7, 45
"e:\MyDrive\server-monitor\src\renderer\src\utils\store\index.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 1, 3, 14
"e:\MyDrive\server-monitor\src\renderer\src\utils\time\index.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 5, 5, 39
"e:\MyDrive\server-monitor\src\renderer\src\utils\windows\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\MyDrive\server-monitor\src\renderer\src\views\editor\editor.vue", "Vue", 0, 94, 0, 0, 0, 0, 0, 18, 10, 122
"e:\MyDrive\server-monitor\src\renderer\src\views\file\components\file-list.vue", "Vue", 0, 152, 0, 0, 0, 0, 0, 0, 13, 165
"e:\MyDrive\server-monitor\src\renderer\src\views\file\file.vue", "Vue", 0, 91, 0, 0, 0, 0, 0, 0, 15, 106
"e:\MyDrive\server-monitor\src\renderer\src\views\firewall\components\add-rules.vue", "Vue", 0, 189, 0, 0, 0, 0, 0, 0, 21, 210
"e:\MyDrive\server-monitor\src\renderer\src\views\firewall\components\edit-rules.vue", "Vue", 0, 202, 0, 0, 0, 0, 0, 0, 24, 226
"e:\MyDrive\server-monitor\src\renderer\src\views\firewall\components\firewall-table.vue", "Vue", 0, 187, 0, 0, 0, 0, 0, 0, 26, 213
"e:\MyDrive\server-monitor\src\renderer\src\views\firewall\firewall-item.vue", "Vue", 0, 329, 0, 0, 0, 0, 0, 0, 36, 365
