"filename", "language", "Ignore", "JSON", "YAML", "JavaScript", "JSON with Comments", "Markdown", "TypeScript", "HTML", "Vue", "SVG", "CSS", "SCSS", "comment", "blank", "total"
"e:\MyDrive\my-drive\src\renderer\auto-imports.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 5, 2, 10
"e:\MyDrive\my-drive\src\renderer\components.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 5, 2, 51
"e:\MyDrive\my-drive\src\renderer\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 2, 19
"e:\MyDrive\my-drive\src\renderer\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"e:\MyDrive\my-drive\src\renderer\src\assets\css\element-plus.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 6, 13, 100
"e:\MyDrive\my-drive\src\renderer\src\assets\css\font.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"e:\MyDrive\my-drive\src\renderer\src\assets\css\scrollbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
"e:\MyDrive\my-drive\src\renderer\src\assets\css\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 6, 18
"e:\MyDrive\my-drive\src\renderer\src\assets\css\theme.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 19, 9, 94
"e:\MyDrive\my-drive\src\renderer\src\assets\css\transition.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"e:\MyDrive\my-drive\src\renderer\src\assets\icons.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 35
"e:\MyDrive\my-drive\src\renderer\src\components\Versions.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"e:\MyDrive\my-drive\src\renderer\src\components\card\card.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 46
"e:\MyDrive\my-drive\src\renderer\src\components\menu\left-menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 7, 70
"e:\MyDrive\my-drive\src\renderer\src\components\menu\menu-item.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 6, 75
"e:\MyDrive\my-drive\src\renderer\src\components\menu\menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"e:\MyDrive\my-drive\src\renderer\src\components\pagination\pagination-1.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 16, 155
"e:\MyDrive\my-drive\src\renderer\src\components\progress\circle-progress.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
